Name,Content,AdditionalContent,Link,Organization
South Island Montane Grasslands,"Species at risk : 
Australasian Bittern
Great Spotted Kiwi
Wrybill
Antipodes Parakeet
Common Kaka
Kea
Long-Tailed Wattled Bat
Large Ground Skink
Oligosoma Otagense
New Zealand Pigeon
New Zealand Falcon
South Island Wren
Yellow-Fronted Parakeet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Tasmanian Central Highland Forests,"Species at risk : 
Blue-Thighed Treefrog
Forty-Spotted Pardalote
Swift Parrot
Greater Long-Eared Bat
Spotted-Tailed Quoll
Eastern Barred Bandicoot
Brown Toadlet
Blue-Billed Duck
Flame Robin
Orange-Bellied Parrot",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Nelson Coast Temperate Forests,"Species at risk : 
Australasian Bittern
Great Spotted Kiwi
Red-Breasted Dotterel
Black-Billed Gull
Weka
Yellowhead
Common Kaka
Kea
Long-Tailed Wattled Bat
New Zealand Pigeon
New Zealand Falcon
South Island Wren
Yellow-Fronted Parakeet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Richmond Temperate Forests,"Species at risk : 
Brown New Zealand Frog
Australasian Bittern
Brown Kiwi
Little Spotted Kiwi
Wrybill
Black-Billed Gull
Weka
Stitchbird
Yellowhead
Common Kaka
Kea
Long-Tailed Wattled Bat
Sphenodon Guntheri
Stephens Sticky-Toed Gecko
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet
Kakapo",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Amsterdam And Saint-Paul Islands Temperate Grasslands,"Species at risk : 
Sooty Albatross
Yellow-Nosed Albatross
White-Chinned Petrel
Rockhopper Penguin
Amsterdam Island Albatross",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
North Island Temperate Forests,"Species at risk : 
Australasian Bittern
Kokako
Hochstetters New Zealand Frog
Flightless Teal
Brown Kiwi
Wrybill
Red-Breasted Dotterel
Black-Billed Gull
Weka
Stitchbird
New Zealand Grebe
Common Kaka
New Zealand Lesser Short-Tailed Bat
Long-Tailed Wattled Bat
Macgregors New Zealand Skink
Whitakers New Zealand Skink
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Tristan Da Cunha-Gough Islands Shrub And Grasslands,"Species at risk : 
Sooty Albatross
Yellow-Nosed Albatross
Inaccessible Rail
Gallinula Comeri
Nightingale Finch
Wilkins Finch
Gough Island Finch
Royal Albatross
Wandering Albatross
Gray-Headed Albatross
Antarctic Giant Petrel
White-Chinned Petrel
Atlantic Petrel
Rockhopper Penguin
Macaroni Penguin
Jackass Penguin
Tristan Thrush
Light-Mantled Albatross
Shy Albatross
Halls Giant Petrel
Grey Petrel
Sooty Shearwater",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Australian Alps Montane Grasslands,"Species at risk : 
Blue-Thighed Treefrog
Australasian Bittern
Regent Honeyeater
Eastern Bristlebird
Swift Parrot
Mountain Pygmy Possum
Green & Golden Bell Frog
Giant Burrowing Frog
Spotted-Tailed Quoll
Brush-Tailed Rock Wallaby
Smoky Mouse
Victoria Scalyfoot
Brown Toadlet
Blue-Billed Duck
Black-Necked Stork
Grey Falcon
Diamond Firetail
Painted Honeyeater
Flame Robin
SpencerS Treefrog
Baw Baw Frog
Corroboree Toadlet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Naracoorte Woodlands,"Species at risk : 
Blue-Thighed Treefrog
Australasian Bittern
Plains-Wanderer
Black-Eared Miner
Regent Honeyeater
Swift Parrot
Malleefowl
Greater Long-Eared Bat
Victoria Scalyfoot
Brown Toadlet
Blue-Billed Duck
Bush Thick-Knee
Buff-Breasted Sandpiper
Black-Necked Stork
Letter-Winged Kite
Australian Bustard
Diamond Firetail
Painted Honeyeater
Flame Robin
Western Whipbird
Orange-Bellied Parrot",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Northland Temperate Kauri Forests,"Species at risk : 
Australasian Bittern
Kokako
Hochstetters New Zealand Frog
Flightless Teal
Brown Kiwi
Little Spotted Kiwi
Wrybill
Red-Breasted Dotterel
Black-Billed Gull
Weka
Stitchbird
New Zealand Grebe
Common Kaka
Long-Tailed Wattled Bat
Alans Skink
Macgregors New Zealand Skink
Whitakers New Zealand Skink
Subantarctic Snipe
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet
Coromandel New Zealand Frog
Kakapo",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Succulent Karoo,"Species at risk : 
Bank Cormorant
White-Tailed Mouse
Boulengers Short-Headed Frog
Black Harrier
Cape Griffon
Lesser Kestrel
Black-Footed Cat
Lion
Lesueurs Hairy Bat
De Wintons Golden Mole
Grants Golden Mole
African Elephant
Fisks House Snake
Armadillo Spinytail Lizard
Mclachlans Spinytail Lizard
Typhlosaurus Lomii
Namaqua Dwarf Adder
African Oystercatcher
Damara Tern
Lesser Flamingo
Stanley Bustard
Cape Cormorant
Crowned Cormorant
Cape Horseshoe Bat
Riverine Rabbit
Black Rhinoceros",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Esperance Mallee,"Species at risk : 
Australasian Bittern
Slender-Billed Black-Cockatoo
Southern Dibbler
Red-Tailed Phascogale
Western Mouse
Malleefowl
Noisy Scrub-Bird
Western Bristlebird
Greater Long-Eared Bat
Western Quoll
Quokka
Echiopsis Atriceps
Bardick Snake
Mains Ground Froglet
Blue-Billed Duck
Bush Thick-Knee
Buff-Breasted Sandpiper
Letter-Winged Kite
Australian Bustard
Western Whipbird
White-Tailed Black-Cockatoo",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Knysna-Amatole Montane Forests,"Species at risk : 
Amatola Toad
Afrixalus Knysnae
Rattrays Frog
Arum Reed Frog
South African Short-Headed Frog
Black Harrier
Cape Griffon
Lappet-Faced Vulture
Lesser Kestrel
Blue Crane
Knysna Scrub-Warbler
Duthies Golden Mole
Long-Tailed Forest Shrew
African Elephant
African Oystercatcher
Stanley Bustard
Knysna Woodpecker
Cape Horseshoe Bat",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Juan Fernandez Islands Temperate Forests,"Species at risk : 
Mas Afuera Rayadito
Defilippes Petrel
Juan Fernandez Petrel
Stejnegers Petrel
Pink-Footed Shearwater
Juan Fernandez Tit-Tyrant
Juan Fernandez Firecrown",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Jarrah-Karri Forest And Shrublands,"Species at risk : 
Australasian Bittern
Slender-Billed Black-Cockatoo
Southern Dibbler
Australian Ground Froglet
Spicospina Flammocaerulea
Western Bristlebird
Greater Long-Eared Bat
Western Quoll
Quokka
Bardick Snake
Mains Ground Froglet
Blue-Billed Duck
Letter-Winged Kite
White-Tailed Black-Cockatoo
White Ground Froglet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Mount Lofty Woodlands,"Species at risk : 
Blue-Thighed Treefrog
Australasian Bittern
Black-Eared Miner
Regent Honeyeater
Kangaroo Island Dunnart
Adelaide Scrub Skink
Mallee Emuwren
Greater Long-Eared Bat
Kangaroo Island Copperhead
Brown Toadlet
Blue-Billed Duck
Bush Thick-Knee
Buff-Breasted Sandpiper
Letter-Winged Kite
Grey Falcon
Australian Bustard
Diamond Firetail
Painted Honeyeater
Flame Robin
Western Whipbird
Orange-Bellied Parrot",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Lowland Fynbos And Renosterveld,"Species at risk : 
Cape Clawed Frog
Bank Cormorant
White-Tailed Mouse
Geometric Tortoise
Muizenberg Cape Toad
Arum Reed Frog
Cape Metal Frog
Black Harrier
Cape Griffon
Lesser Kestrel
Blue Crane
Knysna Scrub-Warbler
Cheetah
Lion
Lesueurs Hairy Bat
African Elephant
Kasners Burrowing Skink
Brown Bandit Frog
African Oystercatcher
Damara Tern
Lesser Flamingo
Pallid Harrier
Stanley Bustard
Certhilauda Brevirostris
Cape Cormorant
Crowned Cormorant
Knysna Woodpecker
Cape Horseshoe Bat
Cape Flats Frog
Van ZylS Golden Mole
Black Rhinoceros",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Albany Thickets,"Species at risk : 
Black Harrier
Cape Griffon
Lesser Kestrel
Blue Crane
Cheetah
Lion
Duthies Golden Mole
African Elephant
African Oystercatcher
Lesser Flamingo
Pallid Harrier
Stanley Bustard
Corn Crake
Cape Cormorant
Knysna Woodpecker
Cape Horseshoe Bat
Black Rhinoceros",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Montane Fynbos And Renosterveld,"Species at risk : 
Cape Clawed Frog
Bank Cormorant
Mountain Zebra
White-Tailed Mouse
Geometric Tortoise
Muizenberg Cape Toad
Arum Reed Frog
South African Short-Headed Frog
Black Harrier
Cape Griffon
Lappet-Faced Vulture
Lesser Kestrel
Blue Crane
Cheetah
Lion
Lesueurs Hairy Bat
Duthies Golden Mole
African Elephant
Pseudocordylus Nebulosus
Brown Bandit Frog
Kogelberg Reserve Frog
African Oystercatcher
Lesser Flamingo
Pallid Harrier
Stanley Bustard
Certhilauda Brevirostris
Cape Cormorant
Crowned Cormorant
Cape Horseshoe Bat
HewittS African Ghost Frog
Skeleton Gorge Ghost Frog
Black Rhinoceros
SmithS Dwarf Chamaeleon",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Humid Pampas,"Species at risk : 
Red-Spotted Argentine Frog
Crowned Eagle
Yellow Cardinal
Pink Fairy Armadillo
Olrogs Gull
Dot-Winged Crake
Austral Rail
Strange-Tailed Tyrant
Marsh Deer
Ornate Horned Frog
Sickle-Winged Nightjar
Magellanic Plover
Buff-Breasted Sandpiper
Chilean Flamingo
Bearded Tachuri
Dinellis Doradito
Greater Rhea
Blunt-Headed Salamander
Eskimo Curlew",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Southeast Australia Temperate Forests,"Species at risk : 
Blue-Thighed Treefrog
Pseudophryne Pengilleyi
Australasian Bittern
Plains-Wanderer
Regent Honeyeater
Eastern Bristlebird
Swift Parrot
Leadbeaters Possum
Long-Footed Potoroo
Green & Golden Bell Frog
Freycinets Treefrog
Giant Burrowing Frog
Gray Barred Frog
Malleefowl
Superb Parrot
Greater Long-Eared Bat
Spotted-Tailed Quoll
Brush-Tailed Rock Wallaby
Eastern Barred Bandicoot
Smoky Mouse
Victoria Scalyfoot
Brown Toadlet
Blue-Billed Duck
Asian Dowitcher
Black-Necked Stork
Letter-Winged Kite
Grey Falcon
Diamond Firetail
Painted Honeyeater
Flame Robin
SpencerS Treefrog
Baw Baw Frog
Corroboree Toadlet
Orange-Bellied Parrot",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Low Monte,"Species at risk : 
La Rioja Water Frog
Andalgala Water Frog
Crowned Eagle
Yellow Cardinal
Southern River Otter
Pink Fairy Armadillo
Portezuelo Frog
Austral Rail
Patagonian Opossum
Plains Viscacha Rat
Rabinos Tree Iguana
Geochelone Chilensis
Chubut Steamerduck
Magellanic Plover
Chilean Flamingo
Andean Condor
Bearded Tachuri
Guanay Cormorant
Greater Rhea
Lesser Rhea
Magellanic Penguin
Puma
Blunt-Headed Salamander
Eskimo Curlew",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Eyre And York Mallee,"Species at risk : 
Australasian Bittern
Plains-Wanderer
Adelaide Scrub Skink
Mallee Emuwren
Greater Long-Eared Bat
Bardick Snake
Brown Toadlet
Blue-Billed Duck
Bush Thick-Knee
Buff-Breasted Sandpiper
Letter-Winged Kite
Grey Falcon
Australian Bustard
Diamond Firetail
Flame Robin
Western Whipbird
Orange-Bellied Parrot",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Lord Howe Island Subtropical Forests,"Species at risk : 
Lord Howe Rail
Guenthers Island Gecko
Cyclodina Lichenigera",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Murray-Darling Woodlands And Mallee,"Species at risk : 
Blue-Thighed Treefrog
Australasian Bittern
Plains-Wanderer
Black-Eared Miner
Regent Honeyeater
Swift Parrot
Malleefowl
Mallee Emuwren
Superb Parrot
Greater Long-Eared Bat
Spotted-Tailed Quoll
Brush-Tailed Rock Wallaby
Bardick Snake
Eared Legless Lizard
Victoria Scalyfoot
Brown Toadlet
Blue-Billed Duck
Bush Thick-Knee
Buff-Breasted Sandpiper
Letter-Winged Kite
Grey Falcon
Australian Bustard
Star Finch
Diamond Firetail
Painted Honeyeater
Red-Lored Whistler
Flame Robin
Western Whipbird
SpencerS Treefrog",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Southwest Australia Woodlands,"Species at risk : 
Australasian Bittern
Slender-Billed Black-Cockatoo
Southern Dibbler
Red-Tailed Phascogale
Australian Ground Froglet
Malleefowl
Western Bristlebird
Greater Long-Eared Bat
Western Quoll
Numbat
Quokka
Bardick Snake
Mains Ground Froglet
Blue-Billed Duck
Bush Thick-Knee
Letter-Winged Kite
White-Tailed Black-Cockatoo",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Parana Flooded Savanna,"Species at risk : 
Red-Spotted Argentine Frog
Crowned Eagle
Yellow Cardinal
Giant Armadillo
Dot-Winged Crake
Strange-Tailed Tyrant
Sharp-Tailed Tyrant
Marsh Deer
Red Myotis
South American Tapir
Giant Anteater
Ornate Horned Frog
Paraguay Horned Frog
Sickle-Winged Nightjar
Buff-Breasted Sandpiper
Chilean Flamingo
Harpy Eagle
Bearded Tachuri
Dinellis Doradito
Greater Rhea
Rusty-Barred Owl
Pampas Deer
Maned Wolf
Puma
Blunt-Headed Salamander
Eskimo Curlew",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Espinal,"Species at risk : 
Crowned Eagle
Yellow Cardinal
Pink Fairy Armadillo
Cordoba Escuerzo
Olrogs Gull
Dot-Winged Crake
Austral Rail
Strange-Tailed Tyrant
Sharp-Tailed Tyrant
Marsh Deer
Achalas Four-Eyed Frog
Sickle-Winged Nightjar
Magellanic Plover
Buff-Breasted Sandpiper
Chilean Flamingo
Andean Condor
Bearded Tachuri
Dinellis Doradito
Greater Rhea
Pampas Deer
Puma
Blunt-Headed Salamander
Eskimo Curlew",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Swan Coastal Plain Scrub And Woodlands,"Species at risk : 
Slender-Billed Black-Cockatoo
Greater Long-Eared Bat
Western Quoll
Quokka
Bardick Snake
Lancelin Ctenotus
Blue-Billed Duck
Bush Thick-Knee
Letter-Winged Kite
Australian Bustard
White-Tailed Black-Cockatoo
Western Swampturtle",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Kwazulu-Cape Coastal Forest Mosaic,"Species at risk : 
Avoca Reed Frog
Natal Diving Frog
Giant Golden Mole
Setaros Dwarf Chameleon
Natal Banana Frog
Bald Ibis
Black Harrier
Cape Griffon
Lappet-Faced Vulture
Lesser Kestrel
Wattled Crane
Blue Crane
Knysna Scrub-Warbler
Natal Free-Tailed Bat
Sclaters Tiny Mouse Shrew
African Elephant
Guenthers Burrowing Skink
African Oystercatcher
Lesser Flamingo
Stanley Bustard
Corn Crake
Cape Cormorant
Knysna Woodpecker
Large-Eared Free-Tailed Bat
Cape Horseshoe Bat
Natal Bandit Frog",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Coolgardie Woodlands,"Species at risk : 
Marsupial Mole
Western Mouse
Woma
Australian Ground Froglet
Malleefowl
Greater Long-Eared Bat
Mulgara
Western Quoll
Plains Mouse
Bardick Snake
Buff-Breasted Sandpiper
Grey Falcon
Australian Bustard
Western Whipbird",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Nullarbor Plains Xeric Shrublands,"Species at risk : 
Marsupial Mole
Woma
Malleefowl
Greater Long-Eared Bat
Mulgara
Plains Mouse
Bardick Snake
Buff-Breasted Sandpiper
Grey Falcon
Australian Bustard",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Norfolk Island Subtropical Forests,"Species at risk : 
Slender-Billed White-Eye
Norfolk Island Parakeet
Norfolk Gerygone
Guenthers Island Gecko
Cyclodina Lichenigera
White-Chested White-Eye",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Drakensberg Alti-Montane Grasslands And Woodlands,"Species at risk : 
African Wild Dog
White-Tailed Mouse
Bald Ibis
Black Harrier
Cape Griffon
Lappet-Faced Vulture
Lesser Kestrel
Blue Crane
Yellow-Breasted Pipit
Cheetah
Lion
Lesueurs Hairy Bat
Sclaters Golden Mole
African Elephant
Breyers Whip Lizard
Lesser Flamingo
Pallid Harrier
Blue Bustard
Stanley Bustard
Corn Crake
Bush Blackcap",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Maputaland-Pondoland Bushland And Thickets,"Species at risk : 
Avoca Reed Frog
Weza Forest Treefrog
Natal Diving Frog
Spotted Ground-Thrush
African Wild Dog
Giant Golden Mole
Spotted Shovelnose Frog
Natal Banana Frog
Bald Ibis
Black Harrier
Cape Griffon
Lappet-Faced Vulture
Lesser Kestrel
Wattled Crane
Blue Crane
Broad-Tailed Grassbird
Cheetah
Lion
African Elephant
Lesser Flamingo
Stanley Bustard
Corn Crake
Knysna Woodpecker
Cape Horseshoe Bat
White Rhinoceros
Natal Bandit Frog
Black Rhinoceros",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Southeast Australia Temperate Savanna,"Species at risk : 
Blue-Thighed Treefrog
Australasian Bittern
Plains-Wanderer
Black-Eared Miner
Regent Honeyeater
Swift Parrot
Malleefowl
Superb Parrot
Large-Eared Pied Bat
Greater Long-Eared Bat
Spotted-Tailed Quoll
Brush-Tailed Rock Wallaby
Bardick Snake
Victoria Scalyfoot
Mackays Burrowing Sldnk
Brown Toadlet
Blue-Billed Duck
Bush Thick-Knee
Letter-Winged Kite
Grey Falcon
Australian Bustard
Diamond Firetail
Painted Honeyeater
Flame Robin
SpencerS Treefrog",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Southern Africa Mangroves,"Species at risk : 
Cape Griffon
Lappet-Faced Vulture
Lesser Kestrel
African Oystercatcher
Great Snipe
Stanley Bustard
Cape Cormorant",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Uruguayan Savanna,"Species at risk : 
Rivera Redbelly Toad
Red-Spotted Argentine Frog
Yellow Cardinal
Marsh Seedeater
Giant Armadillo
Torres Redbelly Toad
Melanophryniscus Montevidensis
Orejas-Miranda Redbelly Toad
Izecksohns Guanabara Frog
Olrogs Gull
Dot-Winged Crake
Strange-Tailed Tyrant
Strange Big-Eared Brown Bat
Red Myotis
Shrewish Short-Tailed Opossum
South American Tapir
Azaras Agouti
Giant Anteater
Tropical Forest Snake
Maldonado Redbelly Toad
San Martin Redbelly Toad
Santa Catarina Leaf Frog
Ornate Horned Frog
Schmidts Spinythumb Frog
Four-Eyed Frog
Peters Smooth Horned Frog
Sickle-Winged Nightjar
Buff-Breasted Sandpiper
Chilean Flamingo
Dark-Throated Seedeater
Bay-Capped Wren-Spinetail
Bearded Tachuri
Mottled Piculet
Greater Rhea
Pampas Deer
Maned Wolf
Little Spotted Cat
Puma
Brown Howler Monkey
Glaucous Macaw",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Southern Cone Mesopotamian Savanna,"Species at risk : 
Yellow Cardinal
Giant Armadillo
Strange-Tailed Tyrant
Sharp-Tailed Tyrant
Red Myotis
Long-Nosed Short-Tailed Opossum
Shrewish Short-Tailed Opossum
South American Tapir
Giant Anteater
Ornate Horned Frog
Sickle-Winged Nightjar
Buff-Breasted Sandpiper
Green-Chinned Euphonia
Creamy-Bellied Gnatcatcher
Bay-Ringed Tyrannulet
Bearded Tachuri
Dinellis Doradito
Greater Rhea
Rusty-Barred Owl
Solitary Tinamou
Pampas Deer
Maned Wolf
Puma
Blunt-Headed Salamander
Eskimo Curlew",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Nama Karoo,"Species at risk : 
Black Harrier
Cape Griffon
Lappet-Faced Vulture
Lesser Kestrel
Blue Crane
Ferruginous Lark
Cheetah
Black-Footed Cat
Lion
Lesueurs Hairy Bat
Sclaters Golden Mole
African Elephant
Fisks House Snake
Bitis Inornata
Lesser Flamingo
Blue Bustard
Stanley Bustard
Latakoo Lark
Sclaters Lark
White Rhinoceros
VisagieS Golden Mole
Riverine Rabbit
Black Rhinoceros",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
